Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
International Journal of Entrepreneurship and Innovation,B,Sage Publications,1465-7503,2043-6882,3507,2000
International Journal of Environment and Pollution,B,Inderscience Enterprises Ltd.,0957-4352,1741-5101,3599,1991
International Journal of Ethics and Systems,B,Emerald Publishing,2514-9369,,3507,1984
International Journal of Event and Festival Management,B,Emerald Group Publishing Limited,1758-2954,1758-2962,3508,
International Journal of Event Management Research,B,Griffith University,1833-0681,,3508,2005
International Journal of Finance,B,Utex Corporation,1041-2743,,3502,1988
International Journal of Finance & Economics,B,Wiley-Blackwell Publishing,1076-9307,1099-1158,3502,1996
International Journal of Financial Engineering,B,World Scientific,2424-7863,2424-7944,3502,2015
International Journal of Financial Markets and Derivatives,B,Inderscience Enterprises Ltd,1756-7130,1756-7149,3502,2009
International Journal of Financial Services Management,B,Inderscience Enterprises Ltd.,1460-6712,1741-8062,3502,2005
International Journal of Financial Studies,B,MDPI,2227-7072,2227-7072,3502,2013
International Journal of Forecasting,B,Elsevier,0169-2070,1872-8200,3802,1985
International Journal of Game Theory,B,Springer International Publishing,0020-7276,1432-1270,3803,1971
International Journal of Gender and Entrepreneurship,B,Emerald Group Publishing,1756-6266,1756-6274,3507,2009
International Journal of General Systems,B,Taylor & Francis Online,0308-1079,1563-5104,3503,1974
International Journal of Global Business and Competitiveness,B,Springer International Publishing,0973-4619,0976-1888,3507,2005
International Journal of Global Energy Issues,B,Inderscience Enterprises Ltd.,0954-7118,1741-5128,3899,1989
International Journal of Government Auditing,B,International Journal of Government Auditing,0047-0724,,3501,1971
International Journal of Green Economics,B,Inderscience Enterprises Ltd.,1744-9928,1744-9936,3899,2006
International Journal of Health Care Quality Assurance,B,Emerald Group Publishing Limited,0952-6862,1758-6542,3599,1988
International Journal of Health Finance and Economics,B,Springer International Publishing,1389-6563,1573-6962,3801,2001
International Journal of Healthcare Information Systems and Informatics,B,IGI Global,1555-3396,1555-340X,4609,2006
International Journal of Healthcare Management,B,Taylor & Francis Online,2047-9700,2047-9719,3506,2007
International Journal of Heritage Studies,B,Taylor & Francis Online,1352-7258,1470-3610,3508,1994
International Journal of Home Economics,B,International Federation of Home Economics,1999-561X,,3899,2008
International Journal of Hospitality and Tourism Administration,B,Taylor & Francis Online,1525-6480,1525-6499,3508,2000
International Journal of Hospitality Management,B,Elsevier,0278-4319,1873-4693,3504,1982
International Journal of Housing Markets and Analysis,B,Emerald Group Publishing,1753-8270,1753-8289,3504,2008
International Journal of Housing Policy,B,Taylor & Francis Online,1461-6718,1473-3269,3599,2001
International Journal of Human Resource Management,B,Taylor & Francis Online,0958-5192,1466-4399,3505,1990
International Journal of Human-Computer Interaction,B,Taylor & Francis Online,1044-7318,1532-7590,4609,1989
International Journal of Human-Computer Studies,B,Elsevier,1071-5819,1095-9300,4609,1955
International Journal of Industrial Organization,B,Elsevier,0167-7187,1873-7986,3801,1983
International Journal of Information and Communication Technology Education,B,IGI Global,1550-1876,1550-1337,4609,2005
International Journal of Information and Learning Technology,B,Emerald Group Publishing,2056-4880,2056-4899,4609,1983
International Journal of Information Management,B,Elsevier,0268-4012,1873-4707,4609,1980
International Journal of Information Security,B,Springer International Publishing,1615-5262,1615-5270,4609,2001
International Journal of Information Security and Privacy,B,IGI Global,1930-1650,1930-1669,4609,2007
International Journal of Information Systems and Change Management,B,Inderscience Enterprises Ltd.,1479-3121,1479-313X,4609,2006
International Journal of Information Systems and Supply Chain Management,B,IGI Global,1935-5726,1935-5734,4609,2008
International Journal of Information Technology and Decision Making,B,World Scientific,0219-6220,1793-6845,4609,2002
International Journal of Information Technology and Web Engineering,B,IGI Global,1554-1045,1554-1053,4609,2006
International Journal of Intellectual Property Management,B,Inderscience Enterprises Ltd.,1478-9647,1478-9655,3801,2006
International Journal of Intelligent Information Technologies,B,IGI Global,1548-3657,1548-3665,4609,2005
International Journal of Intercultural Relations,B,Elsevier,0147-1767,1873-7552,3507,1977
International Journal of Internet and Enterprise Management,B,Inderscience Enterprises Ltd.,1476-1300,1741-5330,4609,2003
International Journal of Internet Marketing and Advertising,B,Inderscience Enterprises Ltd.,1477-5212,1741-8100,3506,2003
International Journal of Internet Science,B,University of Deusto,1662-5544,,4609,2009
International Journal of Islamic and Middle Eastern Finance and Management,B,Emerald Group Publishing Limited,1753-8394,1753-8408,3502,2008
International Journal of Knowledge and Learning,B,Inderscience Enterprises Ltd,1741-1009,1741-1017,4609,2005
International Journal of Knowledge Management,B,IGI Global,1548-0666,1548-0658,4609,2005
International Journal of Knowledge Management Studies,B,Inderscience Enterprises Ltd.,1743-8268,1743-8276,4609,2006
"International Journal of Knowledge, Culture and Change Management",B,Common Ground Publishing Pty Ltd,1447-9524,1447-9575,3507,1993
International Journal of Law and Information Technology,B,Oxford University Press,0967-0769,1464-3693,4801,1993
International Journal of Law and Management,B,Emerald Group Publishing,1754-243X,1754-2448,3507,1966
International Journal of Lean Six Sigma,B,Emerald Group Publishing,2040-4166,,3507,2010
International Journal of Logistics Economics and Globalisation,B,Inderscience Enterprises Ltd.,1741-5373,1741-5381,3801,2007
International Journal of Logistics: research and applications,B,Taylor & Francis Online,1367-5567,1469-848X,3509,1998
International Journal of Management,B,International Journal of Management,0813-0183,0813-0183,3507,1984
International Journal of Management and Network Economics,B,Inderscience Enterprises Ltd.,1754-2316,1754-2324,3899,2008
International Journal of Management Reviews,B,Wiley-Blackwell Publishing,1460-8545,1468-2370,3507,1999
International Journal of Managerial and Financial Accounting,B,Inderscience Enterprises Ltd.,1753-6715,1753-6723,3501,2008
International Journal of Managerial Finance,B,Emerald Group Publishing,1743-9132,1758-6569,3502,2005
International Journal of Managing Projects in Business,B,Emerald Group Publishing,1753-8378,1753-8386,3503,2008
International Journal of Manpower,B,Emerald Group Publishing,0143-7720,1758-6577,3505,1980
International Journal of Market Research,B,Sage Publications,1470-7853,2515-2173,3506,1959
International Journal of Medical Informatics,B,Elsevier,1386-5056,1872-8243,4609,1971
International Journal of Monetary Economics and Finance,B,Inderscience Enterprises Ltd.,1752-0479,1752-0487,3801,2007
International Journal of Nonprofit and Voluntary Sector Marketing,B,Wiley-Blackwell Publishing,1465-4520,1479-103X,3506,1996
International Journal of Operations & Production Management,B,Emerald Group Publishing,0144-3577,1758-6593,3507,1980
International Journal of Operations and Quantitative Management,B,International Forum of Management Scholars,1082-1910,,3509,1997
International Journal of Organizational Analysis,B,Emerald Group Publishing,1934-8835,1758-8561,3507,1993
International Journal of Pharmaceutical and Healthcare Marketing,B,Emerald Group Publishing,1750-6123,1750-6131,3506,2007
International Journal of Physical Distribution & Logistics Management,B,Emerald Group Publishing,0960-0035,1758-664X,3509,1970
International Journal of Political Economy,B,Taylor & Francis Online,0891-1916,1558-0970,3899,1971
International Journal of Portfolio Analysis and Management,B,Inderscience Enterprises Ltd.,2048-2361,2048-237X,3502,2012
International Journal of Production Economics,B,Elsevier,0925-5273,1873-7579,3507,1976
International Journal of Production Research,B,Taylor & Francis Online,0020-7543,1366-588X,3507,1961
International Journal of Productivity and Performance Management,B,Emerald Group Publishing,1741-0401,1758-6658,3505,1952
International Journal of Project Management,B,Elsevier,0263-7863,1873-4634,3503,1983
International Journal of Public Administration,B,Taylor & Francis Online,0190-0692,1532-4265,3507,1979
International Journal of Public Opinion Research,B,Oxford University Press,,1471-6909,3506,1989
International Journal of Public Sector Management,B,Emerald Group Publishing,0951-3558,1758-6666,3507,1988
International Journal of Quality & Reliability Management,B,Emerald Group Publishing,0265-671X,1758-6682,3507,1984
International Journal of Quality and Service Sciences,B,Emerald Group Publishing Limited,1756-669X,1756-6703,3506,2009
International Journal of Research in Marketing,B,Elsevier,0167-8116,1873-8001,3506,1984
International Journal of Retail & Distribution Management,B,Emerald Group Publishing,0959-0552,1758-6690,3506,1973
International Journal of Revenue Management,B,Inderscience Enterprises Ltd.,1474-7332,1741-8186,3502,2007
International Journal of Risk Assessment and Management,B,Inderscience Enterprises Ltd,1466-8297,1741-5241,3502,2000
International Journal of Selection and Assessment,B,Wiley-Blackwell Publishing,0965-075X,1468-2389,3505,1993
International Journal of Social Economics,B,Emerald Group Publishing,0306-8293,1758-6712,3899,1974
International Journal of Social and Humanistic Computing,B,Inderscience Enterprises Ltd.,1752-6124,1752-6132,4609,2008
International Journal of Social Research Methodology,B,Taylor & Francis Online,1364-5579,1464-5300,3507,1998
International Journal of Sociology and Social Policy,B,Emerald Group Publishing,0144-333X,1758-6720,3507,1981
International Journal of Spa and Wellness,B,Taylor & Francis Online,2472-1735,2472-1743,3508,2018
International Journal of Sport Communication,B,"Human Kinetics Publishers, Inc.",1936-3915,1936-3907,3504,2008
International Journal of Sport Finance,B,FIT Publishing,1558-6235,1930-076X,3504,2006
International Journal of Sport Management,B,"American Press, Boston",1546-234X,,3504,2000
International Journal of Sport Policy and Politics,B,Taylor & Francis Online,1940-6940,1940-6959,3504,2009
International Journal of Sport Psychology,B,"Edizioni Luigi Pozzi, Rome",0047-0767,,3504,1970
International Journal of Sports Management and Marketing,B,Inderscience Enterprises Ltd.,1475-8962,1740-2808,3506,2005
International Journal of Sports Marketing and Sponsorship,B,Emerald Group Publishing,1464-6668,2515-7841,3506,1999
International Journal of Stochastic Analysis,B,,2090-3332,2090-3340,4905,1987
International Journal of Strategic Communication,B,Taylor & Francis Online,1553-118X,1553-1198,3506,2007
International Journal of Strategic Property Management,B,Vilnius Gediminas Technical University,1648-715X,1648-9179,3504,1997
International Journal of Stress Management,B,American Psychological Association,1072-5245,1573-3424,3505,1994
International Journal of Sustainable Design,B,Inderscience Enterprises Ltd.,1743-8284,1743-8292,3506,2008
International Journal of Sustainable Economy,B,Inderscience Enterprises Ltd.,1756-5804,1756-5812,3801,2012
International Journal of Sustainable Transportation,B,Taylor & Francis Online,1556-8318,1556-8334,3509,2007
International Journal of Technology and Human Interaction,B,IGI Global,1548-3908,1548-3916,4609,2005
International Journal of Technology Management,B,Inderscience Enterprises Ltd.,0267-5730,1741-5276,3503,1986
International Journal of Technology Management and Sustainable Development,B,Intellect,1474-2748,2040-0551,3506,2002
International Journal of Technology Marketing,B,Inderscience Enterprises Ltd.,1741-878X,1741-8798,3506,2005
"International Journal of Technology, Knowledge and Society",B,Common Ground Research Networks,1832-3669,,4609,2006
International Journal of the Economics of Business,B,Taylor & Francis Online,1357-1516,1466-1829,3899,1994
International Journal of Theoretical and Applied Finance,B,World Scientific Publishing,0219-0249,1793-6322,3502,1998
International Journal of Tourism Cities,B,Emerald Group Publishing,2056-5607,2056-5615,3508,2015
International Journal of Tourism Policy,B,Inderscience Enterprises Ltd.,1750-4090,1750-4104,3508,2007
International Journal of Tourism Research,B,Wiley-Blackwell Publishing,1099-2340,1522-1970,3508,1998
International Journal of Tourism Sciences,B,Taylor & Francis Online,1598-0634,2377-0058,3508,2000
International Journal of Trade and Global Markets,B,Inderscience Enterprises Ltd.,1742-7541,1742-755X,3506,2007
International Journal of Training and Development,B,Wiley-Blackwell Publishing,1360-3736,1468-2419,3505,1997
International Journal of Transport Economics,B,Istituti Editorialie Poligrafici Internazionali Pisa,0303-5247,1724-2185,3509,1974
International Journal of Urban and Regional Research,B,Wiley-Blackwell Publishing,0309-1317,1468-2427,3801,1977
"International Journal of Vehicle Design: journal of vehicle engineering, automotive technology and components",B,Inderscience Publishers,0143-3369,1741-5314,3509,1979
International Journal of Volunteer Administration,B,North Carolina State University,,1942-728X,3507,2006
International Journal of Web Based Communities,B,Inderscience Enterprises Ltd.,1477-8394,1741-8216,4609,2004
